transaction_id,customer_id,amount,merchant_category,hour,day_of_week,country,device_type,card_age_days,velocity,is_international,is_weekend,is_night,is_new_card,is_fraud
19969,4952,318.69,Entertainment,8,0,BR,desktop,36.8,2,0,0,0,0,0
19974,4328,26.61,Travel,12,6,US,mobile,40.7,2,0,1,0,0,1
19983,2964,71.37,Entertainment,17,2,FR,desktop,245.4,1,0,0,0,0,0
19996,1661,234.26,Entertainment,10,6,US,tablet,44.4,1,0,1,0,0,0
101,4330,27.02,Online,21,1,US,tablet,114.5,0,0,0,0,1,0
127,1316,639.99,Entertainment,14,1,US,tablet,47.2,0,0,0,0,1,0
164,2625,69.38,Grocery,3,6,DE,desktop,173.1,0,0,1,1,0,0
167,2284,107.87,Retail,21,6,US,mobile,36.3,4,0,1,0,0,1
184,3785,199.44,Travel,20,3,US,mobile,78.1,0,0,0,0,1,1
199,2355,69.66,Grocery,2,5,NG,desktop,47.9,1,0,1,1,0,0
232,4426,107.37,Grocery,7,1,US,desktop,4.6,2,1,0,0,0,0
237,3653,96.12,Entertainment,20,1,US,mobile,30.7,2,0,0,0,1,0
257,3710,52.5,Health,6,2,DE,desktop,798.9,3,0,0,0,0,0
279,1259,14.32,Grocery,1,6,DE,desktop,360.2,1,0,1,1,0,0
302,4305,190.38,Grocery,4,6,JP,desktop,216.5,1,0,1,1,0,0
385,1127,193.9,Grocery,22,4,CA,desktop,536.8,6,0,0,0,0,0
397,1179,34.37,Retail,3,1,US,mobile,17.1,0,0,0,1,0,0
507,3124,355.12,Online,9,3,US,mobile,91.1,2,0,0,0,1,0
525,2274,69.3,Food Delivery,14,4,US,mobile,310.9,1,0,0,0,1,1
580,1406,528.78,Grocery,14,3,GB,desktop,152.9,3,0,0,0,0,1
601,3465,88.58,Retail,22,5,US,tablet,402.1,3,0,1,0,0,0
633,2735,31.03,Grocery,4,6,CA,desktop,53.4,1,0,1,1,0,1
704,1685,285.54,Grocery,2,5,JP,desktop,430.9,2,0,1,1,0,1
718,2968,100.88,Retail,2,5,BR,desktop,195.4,0,0,1,1,0,0
803,3062,43.75,Grocery,5,0,US,mobile,12.8,2,0,0,1,0,1
867,4279,42.86,Online,6,0,US,mobile,43.1,1,0,0,0,1,0
896,3446,50.09,Retail,4,6,CA,desktop,219.5,2,0,1,1,0,0
1014,2257,376.58,Health,4,6,FR,desktop,188.1,2,0,1,1,0,0
1050,1478,259.06,Utilities,4,5,CA,desktop,32.8,2,0,1,1,0,0
1071,3699,44.36,Travel,14,0,US,mobile,158.3,1,0,0,0,1,0
1102,2877,53.25,Retail,1,1,US,mobile,1.0,1,0,0,1,0,0
1126,4374,90.82,Health,18,3,AU,desktop,150.7,3,0,0,0,0,0
1219,4236,89.78,Grocery,22,0,GB,desktop,180.1,3,0,0,0,0,0
1253,1296,92.44,Retail,12,3,DE,desktop,128.7,3,0,0,0,0,1
1254,4174,37.62,Grocery,2,5,CA,desktop,303.1,0,0,1,1,0,0
1275,4050,114.23,Grocery,21,0,GB,desktop,292.9,3,0,0,0,0,0
1302,2605,127.17,Health,18,0,BR,desktop,640.7,3,0,0,0,0,0
1315,4610,26.32,Grocery,5,3,US,mobile,3.4,0,0,0,1,0,0
1330,2367,566.45,Retail,2,0,US,tablet,18.0,2,0,0,1,0,0
1346,4990,45.55,Retail,10,1,JP,desktop,115.7,3,0,0,0,0,0
1388,2301,27.03,Grocery,14,6,US,mobile,33.3,3,0,1,0,0,0
1534,1753,133.86,Grocery,15,4,DE,desktop,582.2,3,0,0,0,0,0
1547,3749,79.06,Grocery,6,5,US,mobile,95.9,3,0,1,0,0,0
1562,2017,185.73,Retail,0,1,US,tablet,19.6,0,0,0,1,0,0
1578,4196,36.47,Retail,1,0,US,tablet,24.4,2,0,0,1,0,0
1585,3542,265.18,Retail,13,1,BR,desktop,111.9,3,0,0,0,0,0
1597,3636,71.24,Retail,4,4,US,tablet,8.4,2,0,0,1,0,1
1684,4184,40.68,Health,12,6,US,mobile,147.1,3,0,1,0,0,0
1738,1399,568.07,Grocery,9,2,JP,desktop,549.4,3,0,0,0,0,0
1768,2870,99.22,Grocery,14,4,FR,desktop,74.0,4,0,0,0,0,0
1776,1524,157.11,Retail,15,4,CA,desktop,98.9,4,0,0,0,0,0
1871,1172,104.21,Food Delivery,19,0,US,tablet,360.5,0,0,0,0,1,0
