transaction_id,customer_id,amount,merchant_category,hour,day_of_week,country,device_type,card_age_days,velocity,is_international,is_weekend,is_night,is_new_card,is_fraud
1,1357,13.69,Retail,16,6,BR,tablet,72.6,1,0,1,0,0,0
2,4095,278.8,Retail,7,1,US,mobile,8.9,2,0,0,0,0,1
3,3618,293.75,Grocery,16,3,JP,tablet,216.5,1,0,0,0,0,0
4,2755,56.02,Food Delivery,10,6,GB,desktop,125.8,2,0,1,0,0,0
5,2732,151.6,Utilities,15,4,US,desktop,560.8,1,0,0,0,0,0
6,4434,72.45,Health,9,4,GB,tablet,16.9,0,0,0,0,0,0
7,1343,114.65,Grocery,4,0,US,desktop,77.8,2,0,0,1,0,0
8,3789,28.58,Utilities,8,2,US,mobile,296.5,0,0,0,0,0,0
9,1805,167.75,Travel,8,3,US,mobile,243.2,1,0,0,0,0,1
10,1376,17.44,Online,5,5,GB,mobile,125.8,1,1,1,1,0,1
11,3105,14.44,Grocery,2,5,US,mobile,268.0,2,0,1,1,0,1
12,4902,79.68,Grocery,9,3,BR,desktop,19.6,0,0,0,0,0,1
13,3943,72.88,Online,12,2,FR,mobile,6.1,2,0,0,0,0,1
14,4044,118.19,Retail,14,1,CA,desktop,50.7,2,0,0,0,0,0
15,3869,47.02,Health,14,3,CA,desktop,150.1,2,0,0,0,0,0
16,4144,593.29,Travel,4,1,JP,desktop,9.4,2,1,0,1,0,1
17,3052,105.7,Entertainment,3,1,US,desktop,251.6,0,0,0,1,0,0
18,1512,113.62,Retail,3,6,FR,desktop,276.3,1,1,1,1,0,0
19,4358,109.64,Grocery,16,3,US,mobile,342.7,3,0,0,0,0,0
20,2801,245.4,Grocery,16,2,AU,desktop,189.5,1,0,0,0,1,0
21,3001,160.14,Food Delivery,12,2,US,mobile,22.4,2,0,0,0,0,0
22,2483,140.05,Entertainment,12,2,GB,desktop,377.7,4,0,0,0,0,0
23,1730,187.91,Grocery,15,5,FR,desktop,39.7,1,0,1,0,0,0
24,4707,14.52,Retail,8,3,CA,tablet,680.6,1,1,0,0,0,0
25,4126,15.08,Retail,17,4,US,mobile,254.9,0,0,0,0,0,0
26,3575,83.42,Online,21,4,US,mobile,226.2,5,1,0,0,0,0
27,2609,73.87,Online,5,3,DE,tablet,300.9,2,1,0,1,0,0
28,4291,160.74,Entertainment,11,3,US,mobile,10.5,0,0,0,0,0,1
29,3181,91.84,Travel,7,5,FR,desktop,344.7,2,0,1,0,0,0
30,2773,161.07,Grocery,7,6,US,tablet,42.2,0,1,1,0,1,0
31,2801,25.9,Grocery,9,2,US,desktop,75.3,2,0,0,0,0,0
32,1908,89.06,Utilities,5,2,US,mobile,608.3,1,0,0,1,0,0
33,1368,23.55,Retail,8,5,US,mobile,247.1,1,0,1,0,0,0
34,3218,132.54,Grocery,7,0,AU,mobile,78.2,1,0,0,0,0,0
35,4551,13.76,Food Delivery,19,3,CA,desktop,26.4,1,0,0,0,0,0
36,1255,127.52,Retail,6,6,GB,tablet,187.9,0,0,1,0,1,0
37,4433,20.72,Travel,2,4,BR,mobile,90.9,1,1,0,1,0,1
38,4310,61.34,Grocery,20,1,US,mobile,90.4,1,0,0,0,0,0
39,2107,220.29,Food Delivery,21,2,US,desktop,142.4,2,1,0,0,0,0
40,3526,113.0,Online,21,6,US,tablet,66.3,2,0,1,0,0,0
41,1660,17.36,Travel,4,3,US,tablet,22.0,1,0,0,1,0,1
42,4032,45.95,Travel,9,5,US,desktop,180.1,0,0,1,0,1,0
43,3802,20.06,Travel,6,5,US,mobile,125.5,0,0,1,0,0,0
44,2418,16.53,Online,6,5,US,mobile,124.3,1,0,1,0,0,1
45,1271,101.26,Travel,22,4,US,desktop,40.6,3,0,0,0,0,0
46,4882,157.64,Travel,3,0,GB,mobile,183.6,2,0,0,1,0,1
47,2782,139.85,Travel,14,2,US,mobile,180.5,3,1,0,0,0,0
48,4572,164.45,Health,17,0,CA,mobile,10.3,1,0,0,0,0,0
49,3711,88.95,Retail,1,3,CA,mobile,443.1,0,0,0,1,0,0
50,4113,68.48,Travel,21,1,US,desktop,425.3,1,0,0,0,1,0
51,4039,30.78,Retail,5,4,DE,desktop,2.7,1,0,0,1,0,0
52,1778,57.97,Online,9,2,GB,mobile,9.8,0,0,0,0,0,0
